,0
0,1.4899118127283182
1,1.5106903951378783
2,1.5188561334028137
3,1.511748118915661
4,
5,
6,1.5059753701188217
7,1.5054778036893621
8,1.5014643726592596
9,1.5014225425709742
10,1.5030186017199834
11,inf
12,1.5053319181973766
13,
14,1.483872744580921
15,1.4994005739319518
16,1.5008901918223825
17,1.506213272788994
18,1.4893652968146016
19,1.5007869514253216
20,1.4963688457943527
21,1.5077079751641065
22,1.485716252967117
23,1.5033800000690227
24,1.5080537358645467
25,1.518150226766541
26,1.4915620414261337
27,1.4994019543434494
28,1.5060037361739882
29,
30,
31,1.5043642030852706
32,1.5122140463112723
33,1.5107601107174977
34,1.5044773980460109
35,1.499684957648145
36,1.5099890657315478
37,inf
38,1.49648025396544
39,
40,1.5080346892213967
41,1.5027800100716795
42,1.5046404318661617
43,1.4960705596332253
44,1.5111665377964458
45,1.5032483030394908
46,1.5057270938312823
47,1.4886664294518
48,1.5007326677566057
49,1.5044560644173808
50,1.5023509166165698
51,1.4949789611383786
52,1.5051887054415622
53,1.5042555523681387
54,
55,
56,
57,1.5108216695613697
58,1.5070319101795722
59,1.512662938296318
60,1.5119549846356932
61,1.4976879293787426
62,1.5047889485227313
63,inf
64,1.4968007992330008
65,1.489716519667077
66,1.5044996858483437
67,1.5021624627170436
68,1.4930014179925817
69,1.505524886025791
70,1.5059228460744916
71,1.5037670722051457
72,
73,1.500718170558316
74,1.513758149645279
75,1.496560132859218
76,1.4983153129347133
77,inf
78,1.4922925212751137
