,0
0,1.5041264509327203
14,1.5009406989726606
28,1.5106056689062846
42,1.5043130283141943
56,
70,
84,1.4988839678280543
98,1.5139772824082334
112,1.4920527786505955
126,1.493121309234117
140,1.497687642762507
154,1.4951379920735854
168,1.4959976439896
182,
196,1.4931075410619798
210,1.501020286372129
224,1.5026440797746974
238,1.4906567616757203
252,1.4953660999407965
266,1.5058411608718567
280,1.5029768043196974
294,1.499416502476736
308,1.4916660885038149
322,1.4975037363410937
336,1.5126114487291433
350,1.5063767083325041
364,1.5014898137986685
378,1.5092013350665985
392,1.5123897943150881
406,
420,
434,1.5028019965098764
448,1.5155985931655303
462,1.493486784596785
476,1.5132718133753498
490,1.4927868183923032
504,1.4990688559662653
518,1.5025646442218819
532,1.5016122847651627
546,
560,1.5026042206526524
574,1.4981857119093949
588,1.4992823520713965
602,1.488625804420943
616,1.5064785113269985
630,1.4976223439531033
644,1.489442163773105
658,1.488014792689368
672,1.503201758944687
686,1.5149386936519156
700,1.4970881148701514
714,1.5064343083462324
728,1.4963929839634433
742,1.495398208089354
756,
770,
784,
798,1.4983754983350235
812,1.4976959195804402
826,1.5003564400130238
840,1.5191776689154166
854,1.5043720481733809
868,1.5120357070509307
882,1.4991197811350017
896,1.489935755395171
910,1.491844315180192
924,1.4878508243707123
938,1.4896652231725767
952,1.5074079723748663
966,1.5033332997187987
980,1.5019851514345355
994,1.4981965048687786
1008,
1022,1.4966576588045506
1036,1.4957454981351654
1050,1.5054955949584488
1064,1.4981136694237827
1078,1.5033588188247882
1092,1.4987312910125714
