,0
0,1.5064701301762313
14,1.5187169392602293
28,1.5114207835627553
42,1.5121186742232169
56,
70,
84,1.5107119441093684
98,1.514874012350709
112,1.5006648016190347
126,1.4978611255934133
140,1.5132584536246743
154,1.5081482179904921
168,1.5001948316426519
182,
196,1.4947582835123332
210,1.4998061555675406
224,1.4963959089140038
238,1.4960341511096598
252,1.4958637990951587
266,1.499647532730896
280,1.510614773282925
294,1.5125159133436885
308,1.4876484731097626
322,1.508856885559687
336,1.5042049046668817
350,1.503644126628882
364,1.494535592302495
378,1.5085292935461194
392,1.5065614045049858
406,
420,
434,1.5055334354027892
448,1.4956000609645208
462,1.5051627914410624
476,1.506507971332629
490,1.4990249980744232
504,1.5066704114935434
518,1.5004171971633984
532,1.5015842684587601
546,
560,1.5048299059353194
574,1.502058866015407
588,1.4928401130046358
602,1.4923155444424554
616,1.5073765744428678
630,1.4914982085601678
644,1.5019094872518775
658,1.4924537773774826
672,1.504209243918797
686,1.5019518620046644
700,1.505816816083898
714,1.501770267075583
728,1.507362642000916
742,1.4974714445522759
756,
770,
784,
798,1.494229108185062
812,1.4950739938400972
826,1.49814473301297
840,1.4984262265477946
854,1.4900739537515812
868,1.5101772661449837
882,1.497006939008027
896,1.4987276132501746
910,1.4932754325169546
924,1.4979828006535072
938,1.4841063979968423
952,1.4881976709219435
966,1.4994584406267297
980,1.5067869615146117
994,1.4999277298362115
1008,
1022,1.4924100660075006
1036,1.5015416331963292
1050,1.5074562702384176
1064,1.501145118635866
1078,1.5076598496796292
1092,1.5061064587698816
