,0
0,1.5034951951642315
14,1.5108001018019386
28,1.5273190315200786
42,1.5146000399014112
56,
70,
84,1.5137115707123185
98,1.5122393059589492
112,1.4946797302097936
126,1.4899210127536462
140,1.5021107969287844
154,1.492335087825257
168,1.4965415588019895
182,
196,1.4837138249834227
210,1.5090960006007166
224,1.4927972589308929
238,1.4973325898600476
252,1.499579590000958
266,1.4906288763777715
280,1.5155781925412446
294,1.4989817439024022
308,1.480573017389984
322,1.4877573873203649
336,1.5079602985671696
350,1.500703340103691
364,1.4948519142249357
378,1.5119301315635567
392,1.509083101967328
406,
420,
434,1.5044346643283386
448,1.5033952837723237
462,1.4984175825985695
476,1.5089742728471056
490,1.4965475392737324
504,1.493851248154728
518,1.499164606500537
532,1.496432072981697
546,
560,1.5002812731971755
574,1.5026514054997506
588,1.5009027831475519
602,1.4880080223694687
616,1.505615224538518
630,1.4874408958821124
644,1.495890238701884
658,1.4895747588698194
672,1.4994744729277107
686,1.508998493403791
700,1.493606334959782
714,1.5036648724276156
728,1.4966172789088685
742,1.4871226175893155
756,
770,
784,
798,1.498981628610294
812,1.5020358233528088
826,1.5038442288890783
840,1.5031816675687488
854,1.5006318689890557
868,1.5060582160029352
882,1.4943337293694174
896,1.4938122754171295
910,1.4894986765067395
924,1.4913388530531033
938,1.4976886759479067
952,1.5035690215073174
966,1.5051572299995244
980,1.5092418581804232
994,1.4978092529526803
1008,
1022,1.4937495187185745
1036,1.4975631168442527
1050,1.4922795766100925
1064,1.4905623186103316
1078,1.5090248826177
1092,1.4964578310554284
