,0
0,1.4919787712020938
14,1.5126180745557178
28,1.5182677092265848
42,1.494771818331527
56,
70,
84,1.5063606259695348
98,1.4971772861259227
112,1.4988938482944631
126,1.4989472784494056
140,1.5135506636884795
154,1.4900272138737272
168,1.495490298202946
182,
196,1.4907416681844579
210,1.494704960029452
224,1.487590616185856
238,1.491665623715126
252,1.4918394270374573
266,1.5069522915450837
280,1.4937138246901216
294,1.5014250243940455
308,1.4776959296146917
322,1.512344607216999
336,1.512285693250601
350,1.4970914921510812
364,1.501092585621821
378,1.5201579029758008
392,1.5083965913938628
406,
420,
434,1.5019969217165445
448,1.5046546279381217
462,1.4977419884053773
476,1.490419687208364
490,1.5007246057782186
504,1.486753276805984
518,1.5024793766770772
532,1.497161922745431
546,
560,1.505058281330289
574,1.5006946304416466
588,1.4982952495863593
602,1.50333515647718
616,1.5043032462374775
630,1.4889737479935823
644,1.4967508640586933
658,1.4923752592923805
672,1.4924344955894895
686,1.5108912866759308
700,1.5107948353403047
714,1.498986845138369
728,1.492254077365462
742,1.4844432910717593
756,
770,
784,
798,1.4999372585343291
812,1.4967160297573145
826,1.4997185216767612
840,1.4969046707158549
854,1.5015323167264272
868,1.4962757783094538
882,1.50193098722876
896,1.5062277794930405
910,1.4858445282449388
924,1.4854882751643081
938,1.5004632751855354
952,1.5010874273726118
966,1.5015286554549856
980,1.5074799291781402
994,1.5045441845851077
1008,
1022,1.4905233549901724
1036,1.4955030160508045
1050,1.494692352237811
1064,1.5025061966553732
1078,1.5004683961520597
1092,1.5059653158622688
